,ID,Type,Name,key
1,1,1,carrion-detritus,POM
2,2,1,marine-detritus,POM
3,3,1,terrestrial-detritus,POM
4,4,1,Saltwort,Plantae
5,5,1,epipellic flora,Plantae
6,6,1,Alkali Heath,Plantae
7,7,1,Fleshy Jaumea,Plantae
8,8,1,California Sea Lavender,Plantae
9,9,1,macroalgae,Plantae
10,10,1,Shore Grass,Plantae
11,11,1,phytoplankton,Plantae
12,12,1,Annual Pickleweed,Plantae
13,13,1,Pickleweed,Plantae
14,14,1,California Cordgrass,Plantae
15,15,1,foraminiferan,Protista
16,16,1,annelid,Annelida
17,17,1,annelid red,Annelida
18,18,1,capitellid?,Annelida
19,19,1,cirratulid,Annelida
20,20,1,cirratulid?,Annelida
21,21,1,Cirriformia spirabrancha,Annelida
22,22,1,ctenodrilid,Insecta
23,23,1,errant annelid,Annelida
24,24,1,errant large annelid,Annelida
25,25,1,Neanthes,Annelida
26,26,1,oligochaete,Annelida
27,27,1,spionid,Annelida
28,28,1,spionid?,Annelida
29,29,1,leech(glossiphonid),Hirudinea
30,30,1,anthozoan,Cnidaria
31,31,1,brown cucumber,Echinodermata
32,32,1,cucumber,Echinodermata
33,33,1,nemertean,Nermertea
34,34,1,phoronid,Phoronid
35,35,1,turbellarian,Platyhelminthes
36,36,1,white cucumber,Echinodermata
37,37,1,white nemertean,Nermertea
38,38,1,Chione californiensis,Bivalve
39,39,1,Chione fluctifraga,Bivalve
40,40,1,California Softshell Clam,Bivalve
41,41,1,Ribbed Mussel,Bivalve
42,42,1,Pacific Eggcockle,Bivalve
43,43,1,Bent-nosed Clam,Bivalve
44,44,1,Pacific Littleneck Clam,Bivalve
45,45,1,Protothaca?,Bivalve
46,46,1,Fat Jackknife Clam,Bivalve
47,47,1,Lesser Tagelus,Bivalve
48,48,1,unk bivalve,Bivalve
49,49,1,Acteocina inculta,Gastropoda
50,50,1,California Assiminea,Gastropoda
51,51,1,Cloudy Bubble Snail,Gastropoda
52,52,1,California Horn Snail,Gastropoda
53,53,1,Paper Bubble Snail,Gastropoda
54,54,1,Littorina?,Gastropoda
55,55,1,Salt Marsh Snail,Gastropoda
56,56,1,Nassarius tegula,Gastropoda
57,57,1,opisthobranch,Gastropoda
58,58,1,pyramidellid,Gastropoda
59,59,1,Black Salt Marsh Mosquito,Insecta
60,60,1,Argulus,Crustacea
61,61,1,Western Encephalitis Mosquito,Insecta
62,62,1,cyclopoid copepod,Crustacea
63,63,1,Ephydra,Insecta
64,64,1,gammaridean,Malacostraca
65,65,1,harpacticoid,Crustacea
66,66,1,ostracod-planktonic,Crustacea
67,67,1,Salt Marsh Hopper,Crustacea
68,68,1,Salt Marsh Water Boatman,Insecta
69,69,1,Calfornia Ghost Shrimp,Crustacea
70,70,1,Southern Mud Shrimp,Crustacea
71,71,1,Green Shore Crab,Malacostraca
72,72,1,Striped Shore Crab,Malacostraca
73,73,1,Fiddler Crab,Malacostraca
74,74,1,Californian Anchovy,Actinopterygii
75,75,1,Topsmelt,Actinopterygii
76,76,1,Arrow Goby,Actinopterygii
77,77,1,California Killifish,Actinopterygii
78,78,1,Long-jawed Mudsucker,Actinopterygii
79,79,1,Opaleye,Actinopterygii
80,80,1,Bay Blenny,Actinopterygii
81,81,1,Diamond Turbot,Actinopterygii
82,82,1,Cheekspot Goby,Actinopterygii
83,83,1,Grey Smoothhound,Chondrichthyes
84,84,1,Sicklefin Smoothhound,Chondrichthyes
85,85,1,California Bat Ray,Chondrichthyes
86,86,1,California Halibut,Actinopterygii
87,87,1,Spotted Sandbass,Actinopterygii
88,88,1,Thornback Ray,Chondrichthyes
89,89,1,Specklefin Midshipman,Actinopterygii
90,90,1,Shadow Goby,Actinopterygii
91,91,1,Shovelnose Guitarfish,Actinopterygii
92,92,1,Haller's Round Ray,Chondrichthyes
93,93,1,American Avocet,Aves
94,94,1,American Bittern,Aves
95,95,1,American Wigeon,Aves
96,96,1,Black-bellied Plover,Aves
97,97,1,Black-crowned Night Heron,Aves
98,98,1,Black Skimmer,Aves
99,99,1,Black Turnstone,Aves
100,100,1,Brant,Aves
101,101,1,Brown Pelican,Aves
102,102,1,Bufflehead,Aves
103,103,1,California Gull,Aves
104,104,1,Caspian Tern,Aves
105,105,1,Cinnamon Teal,Aves
106,106,1,Clapper Rail,Aves
107,107,1,Dunlin,Aves
108,108,1,Eared Grebe,Aves
109,109,1,Forster's Tern,Aves
110,110,1,Great Blue Heron,Aves
111,111,1,Great Egret,Aves
112,112,1,Greater Yellowlegs,Aves
113,113,1,Green-winged Teal,Aves
114,114,1,Killdeer,Aves
115,115,1,Long-billed Curlew,Aves
116,116,1,Least Sandpiper,Aves
117,117,1,Lesser Scaup,Aves
118,118,1,Least Tern,Aves
119,119,1,Marbled Godwit,Aves
120,120,1,Mallard,Aves
121,121,1,Northern Harrier,Aves
122,122,1,Osprey,Aves
123,123,1,Ring-billed Gull,Aves
124,124,1,Red-breasted Merganser,Aves
125,125,1,Reddish Egret,Aves
126,126,1,Ruddy Turnstone,Aves
127,127,1,Short-billed Dowitcher,Aves
128,128,1,Semipalmated Plover,Aves
129,129,1,Snowy Egret,Aves
130,130,1,Snowy Plover,Aves
131,131,1,Sora,Aves
132,132,1,Tricolored Heron,Aves
133,133,1,Western Grebe,Aves
134,134,1,Western Gull,Aves
135,135,1,Western Sandpiper,Aves
136,136,1,Whimbrel,Aves
137,137,1,Willet,Aves
138,138,1,copepod-thalassinidean,Crustacea
139,139,2,Picornavirus,Picornavirus
140,140,2,apicomplexan.Tagelus,Apicomplexan
141,141,2,gregarine-Pachy,Apicomplexan
142,142,2,microsporan?mc oval,Apicomplexan
143,143,2,microsporan?mc RL,Apicomplexan
144,144,2,microsporan?prob,Apicomplexan
145,145,2,microsporidean Hemi,Apicomplexan
146,146,2,microsporidean Uca,Apicomplexan
147,147,2,Plasmodium sp.,Apicomplexan
148,148,2,Trichodina sp.,Ciliophora
149,149,2,graffillid,Platyhelminthes
150,150,2,Gyrodactylus sp.,Platyhelminthes
